,movie,link
398,Inside Job,https://https://www.metacritic.com/movie/inside-job
399,Sweet Country,https://https://www.metacritic.com/movie/sweet-country
400,Leave No Trace,https://https://www.metacritic.com/movie/leave-no-trace
401,Three Colors: White,https://https://www.metacritic.com/movie/three-colors-white
402,Chicken Run,https://https://www.metacritic.com/movie/chicken-run
403,The King's Speech,https://https://www.metacritic.com/movie/the-kings-speech
404,Parallel Mothers,https://https://www.metacritic.com/movie/parallel-mothers
405,Hell or High Water,https://https://www.metacritic.com/movie/hell-or-high-water
406,Up,https://https://www.metacritic.com/movie/up
407,Shirkers,https://https://www.metacritic.com/movie/shirkers
408,Mildred Pierce,https://https://www.metacritic.com/movie/mildred-pierce
409,45365,https://https://www.metacritic.com/movie/45365
410,Tootsie,https://https://www.metacritic.com/movie/tootsie
411,Marooned in Iraq,https://https://www.metacritic.com/movie/marooned-in-iraq
412,To Kill a Mockingbird,https://https://www.metacritic.com/movie/to-kill-a-mockingbird
413,Descendant,https://https://www.metacritic.com/movie/descendant
414,Aquarius,https://https://www.metacritic.com/movie/aquarius
415,"So Long, My Son",https://https://www.metacritic.com/movie/so-long-my-son
416,Apollo 11,https://https://www.metacritic.com/movie/apollo-11
417,Anomalisa,https://https://www.metacritic.com/movie/anomalisa
418,Toy Story 2,https://https://www.metacritic.com/movie/toy-story-2
419,Black Panther,https://https://www.metacritic.com/movie/black-panther
420,The Human Voice,https://https://www.metacritic.com/movie/the-human-voice
421,Brooklyn,https://https://www.metacritic.com/movie/brooklyn
422,Nobody Knows,https://https://www.metacritic.com/movie/nobody-knows
423,Life Is Sweet,https://https://www.metacritic.com/movie/life-is-sweet
424,Faces,https://https://www.metacritic.com/movie/faces
425,Mary Poppins,https://https://www.metacritic.com/movie/mary-poppins
426,The Lord of the Rings: The Two Towers,https://https://www.metacritic.com/movie/the-lord-of-the-rings-the-two-towers
427,L'Enfant (The Child),https://https://www.metacritic.com/movie/lenfant
428,Jane Fonda in Five Acts,https://https://www.metacritic.com/movie/jane-fonda-in-five-acts
429,The Conversation,https://https://www.metacritic.com/movie/the-conversation
430,Good Morning,https://https://www.metacritic.com/movie/good-morning
431,Newtown,https://https://www.metacritic.com/movie/newtown
432,Poetry,https://https://www.metacritic.com/movie/poetry
433,Restless Creature: Wendy Whelan,https://https://www.metacritic.com/movie/restless-creature-wendy-whelan
434,Birdman or (The Unexpected Virtue of Ignorance),https://https://www.metacritic.com/movie/birdman
435,Little Women,https://https://www.metacritic.com/movie/little-women
436,Aftershock,https://https://www.metacritic.com/movie/aftershock-2022
437,Shakespeare in Love,https://https://www.metacritic.com/movie/shakespeare-in-love
438,The Awful Truth,https://https://www.metacritic.com/movie/the-awful-truth
439,Can You Ever Forgive Me?,https://https://www.metacritic.com/movie/can-you-ever-forgive-me
440,Wolfwalkers,https://https://www.metacritic.com/movie/wolfwalkers
441,It Happened One Night,https://https://www.metacritic.com/movie/it-happened-one-night
442,The Body Remembers When the World Broke Open,https://https://www.metacritic.com/movie/the-body-remembers-when-the-world-broke-open
443,The Missing Picture,https://https://www.metacritic.com/movie/the-missing-picture
444,"I Travel Because I Have to, I Come Back Because I Love You",https://https://www.metacritic.com/movie/i-travel-because-i-have-to-i-come-back-because-i-love-you
445,The Invisible Man,https://https://www.metacritic.com/movie/the-invisible-man-1933
446,Scarface,https://https://www.metacritic.com/movie/scarface-1932
447,Of Men and War,https://https://www.metacritic.com/movie/of-men-and-war
448,The Long Goodbye,https://https://www.metacritic.com/movie/the-long-goodbye
449,She Wore a Yellow Ribbon,https://https://www.metacritic.com/movie/she-wore-a-yellow-ribbon
450,Imitation of Life,https://https://www.metacritic.com/movie/imitation-of-life
451,Pain and Glory,https://https://www.metacritic.com/movie/pain-and-glory
452,Genèse (Genesis),https://https://www.metacritic.com/movie/gencse-genesis
453,The Farthest,https://https://www.metacritic.com/movie/the-farthest
454,Gomorrah,https://https://www.metacritic.com/movie/gomorrah
455,Days,https://https://www.metacritic.com/movie/days
456,Who We Are: A Chronicle of Racism in America,https://https://www.metacritic.com/movie/who-we-are-a-chronicle-of-racism-in-america
457,To Be and to Have,https://https://www.metacritic.com/movie/to-be-and-to-have
458,A Night of Knowing Nothing,https://https://www.metacritic.com/movie/a-night-of-knowing-nothing
459,Halloween,https://https://www.metacritic.com/movie/halloween-1978
460,Eraserhead,https://https://www.metacritic.com/movie/eraserhead
461,The Velvet Underground,https://https://www.metacritic.com/movie/the-velvet-underground
462,Medium Cool,https://https://www.metacritic.com/movie/medium-cool
463,Attica,https://https://www.metacritic.com/movie/attica
464,Can You Bring It: Bill T. Jones and D-Man in the Waters,https://https://www.metacritic.com/movie/can-you-bring-it-bill-t-jones-and-d-man-in-the-waters
465,Alcarràs,https://https://www.metacritic.com/movie/alcarrss
466,Fire at Sea,https://https://www.metacritic.com/movie/fire-at-sea
467,The Fugitive,https://https://www.metacritic.com/movie/the-fugitive
468,F for Fake,https://https://www.metacritic.com/movie/f-for-fake
469,About Elly (2009),https://https://www.metacritic.com/movie/about-elly
470,The Bridge on the River Kwai,https://https://www.metacritic.com/movie/the-bridge-on-the-river-kwai
471,Goldfinger,https://https://www.metacritic.com/movie/goldfinger
472,Ma Rainey's Black Bottom,https://https://www.metacritic.com/movie/ma-raineys-black-bottom
473,One False Move,https://https://www.metacritic.com/movie/one-false-move
474,En el Séptimo Día (On the Seventh Day),https://https://www.metacritic.com/movie/en-el-septimo-dia-on-the-seventh-day
475,Jane,https://https://www.metacritic.com/movie/jane
476,Jaws,https://https://www.metacritic.com/movie/jaws
477,We Are the Best!,https://https://www.metacritic.com/movie/we-are-the-best
478,Spartacus,https://https://www.metacritic.com/movie/spartacus
479,Small Axe: Education,https://https://www.metacritic.com/movie/education
480,About Endlessness,https://https://www.metacritic.com/movie/about-endlessness
481,Back to the Future,https://https://www.metacritic.com/movie/back-to-the-future
482,Hope,https://https://www.metacritic.com/movie/hope
483,If Beale Street Could Talk,https://https://www.metacritic.com/movie/if-beale-street-could-talk
484,My Journey Through French Cinema,https://https://www.metacritic.com/movie/my-journey-through-french-cinema
485,Wallace & Gromit: The Curse of the Were-Rabbit,https://https://www.metacritic.com/movie/wallace-gromit-the-curse-of-the-were-rabbit
486,The Diary of a Teenage Girl,https://https://www.metacritic.com/movie/the-diary-of-a-teenage-girl
487,Elena,https://https://www.metacritic.com/movie/elena
488,All Is Lost,https://https://www.metacritic.com/movie/all-is-lost
489,Hereditary,https://https://www.metacritic.com/movie/hereditary
490,Return to Seoul,https://https://www.metacritic.com/movie/return-to-seoul
491,Listen to Me Marlon,https://https://www.metacritic.com/movie/listen-to-me-marlon
492,Gideon's Army,https://https://www.metacritic.com/movie/gideons-army
493,Odd Man Out,https://https://www.metacritic.com/movie/odd-man-out
494,Maria Full of Grace,https://https://www.metacritic.com/movie/maria-full-of-grace
495,Fateless,https://https://www.metacritic.com/movie/fateless
496,Happy as Lazzaro,https://https://www.metacritic.com/movie/happy-as-lazzaro
497,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,https://https://www.metacritic.com/movie/the-fog-of-war-eleven-lessons-from-the-life-of-robert-s-mcnamara
498,Uncle Boonmee Who Can Recall His Past Lives,https://https://www.metacritic.com/movie/uncle-boonmee-who-can-recall-his-past-lives
499,Brokeback Mountain,https://https://www.metacritic.com/movie/brokeback-mountain
