,movie,link,director,genre
48,Ratatouille,https://www.metacritic.com/movie/ratatouille,['Brad Bird'],"['Fantasy', 'Comedy', 'Animation', 'Family']"
49,The Grapes of Wrath,https://www.metacritic.com/movie/the-grapes-of-wrath,['John Ford'],"['Drama', 'History']"
50,Children of Paradise (1945),https://www.metacritic.com/movie/children-of-paradise,['Marcel Carné'],"['Drama', 'Romance']"
51,Mean Streets,https://www.metacritic.com/movie/mean-streets,['Martin Scorsese'],"['Drama', 'Thriller', 'Crime']"
52,Sansho the Bailiff,https://www.metacritic.com/movie/sansho-the-bailiff,['Kenji Mizoguchi'],['Drama']
53,The Lady Eve,https://www.metacritic.com/movie/the-lady-eve,['Preston Sturges'],"['Comedy', 'Romance']"
54,Gravity,https://www.metacritic.com/movie/gravity,['Alfonso Cuarón'],"['Sci-Fi', 'Drama', 'Mystery', 'Thriller']"
55,Fantasia,https://www.metacritic.com/movie/fantasia,"['Ben Sharpsteen', 'Bill Roberts', 'David Hand', 'Ford Beebe Jr.', 'Hamilton Luske', 'James Algar', 'Jim Handley', 'Norman Ferguson', 'Paul Satterfield', 'Samuel Armstrong', 'T. Hee', 'Wilfred Jackson']","['Fantasy', 'Music', 'Animation', 'Family']"
56,Spirited Away,https://www.metacritic.com/movie/spirited-away,['Hayao Miyazaki'],"['Adventure', 'Fantasy', 'Animation', 'Family']"
57,Beauty and the Beast,https://www.metacritic.com/movie/beauty-and-the-beast-1991,"['Gary Trousdale', 'Kirk Wise']","['Fantasy', 'Romance', 'Animation', 'Family', 'Musical']"
58,Small Axe: Lovers Rock,https://www.metacritic.com/movie/lovers-rock,['Steve McQueen'],['Drama']
59,Toy Story,https://www.metacritic.com/movie/toy-story,['John Lasseter'],"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
60,The Bride of Frankenstein,https://www.metacritic.com/movie/the-bride-of-frankenstein,['James Whale'],"['Sci-Fi', 'Drama', 'Horror']"
61,Don't Look Now,https://www.metacritic.com/movie/dont-look-now,['Nicolas Roeg'],"['Drama', 'Thriller', 'Horror']"
62,Aftersun,https://www.metacritic.com/movie/aftersun,['Charlotte Wells'],['Drama']
63,The Social Network,https://www.metacritic.com/movie/the-social-network,['David Fincher'],"['Biography', 'Drama', 'History', 'Comedy']"
64,My Fair Lady,https://www.metacritic.com/movie/my-fair-lady,['George Cukor'],"['Drama', 'Romance', 'Family', 'Musical']"
65,Portrait of a Lady on Fire,https://www.metacritic.com/movie/portrait-of-a-lady-on-fire,['Céline Sciamma'],"['Drama', 'History', 'Romance']"
66,I Am Not Your Negro,https://www.metacritic.com/movie/i-am-not-your-negro,['Raoul Peck'],['Documentary']
67,Woodstock,https://www.metacritic.com/movie/woodstock-1970,['Michael Wadleigh'],"['History', 'Music', 'Documentary']"
68,Rocks,https://www.metacritic.com/movie/rocks,['Sarah Gavron'],['Drama']
69,Snow White and the Seven Dwarfs,https://www.metacritic.com/movie/snow-white-and-the-seven-dwarfs,"['Ben Sharpsteen', 'David Hand', 'Larry Morey', 'Perce Pearce', 'Wilfred Jackson', 'William Cottrell']","['Fantasy', 'Romance', 'Animation', 'Family', 'Musical']"
70,Amour,https://www.metacritic.com/movie/amour,['Michael Haneke'],"['Drama', 'Romance']"
71,The Hurt Locker,https://www.metacritic.com/movie/the-hurt-locker,['Kathryn Bigelow'],"['Action', 'Drama', 'Thriller', 'War']"
72,Anatomy of a Murder,https://www.metacritic.com/movie/anatomy-of-a-murder,['Otto Preminger'],"['Drama', 'Mystery', 'Thriller', 'Crime']"
73,Zero Dark Thirty,https://www.metacritic.com/movie/zero-dark-thirty,['Kathryn Bigelow'],"['Action', 'Drama', 'History', 'Thriller']"
74,Collective,https://www.metacritic.com/movie/collective,['Alexander Nanau'],['Documentary']
75,A Separation,https://www.metacritic.com/movie/a-separation,['Asghar Farhadi'],['Drama']
76,Double Indemnity,https://www.metacritic.com/movie/double-indemnity,['Billy Wilder'],"['Drama', 'Mystery', 'Thriller', 'Crime', 'Film-Noir']"
77,WALL-E,https://www.metacritic.com/movie/wall-e,['Andrew Stanton'],"['Adventure', 'Sci-Fi', 'Romance', 'Animation', 'Family']"
78,Carol,https://www.metacritic.com/movie/carol,['Todd Haynes'],"['Drama', 'Romance']"
79,Before Midnight,https://www.metacritic.com/movie/before-midnight,['Richard Linklater'],"['Drama', 'Romance']"
80,Dunkirk,https://www.metacritic.com/movie/dunkirk,['Christopher Nolan'],"['Action', 'Drama', 'History', 'Thriller', 'War']"
81,The Man Who Shot Liberty Valance,https://www.metacritic.com/movie/the-man-who-shot-liberty-valance,['John Ford'],"['Drama', 'Western']"
82,The Searchers,https://www.metacritic.com/movie/the-searchers,['John Ford'],"['Adventure', 'Drama', 'Western']"
83,45 Years,https://www.metacritic.com/movie/45-years,['Andrew Haigh'],"['Drama', 'Romance']"
84,Taxi Driver,https://www.metacritic.com/movie/taxi-driver,['Martin Scorsese'],"['Drama', 'Thriller', 'Crime']"
85,The Servant,https://www.metacritic.com/movie/the-servant,['Joseph Losey'],['Drama']
86,Pulp Fiction,https://www.metacritic.com/movie/pulp-fiction,['Quentin Tarantino'],"['Drama', 'Thriller', 'Crime']"
87,The Manchurian Candidate,https://www.metacritic.com/movie/the-manchurian-candidate-1962,['John Frankenheimer'],"['Drama', 'Mystery', 'Thriller']"
88,Mr. Turner,https://www.metacritic.com/movie/mr-turner,['Mike Leigh'],"['Biography', 'Drama', 'History']"
89,The Irishman,https://www.metacritic.com/movie/the-irishman,['Martin Scorsese'],"['Biography', 'Drama', 'History', 'Thriller', 'Crime']"
90,Amazing Grace,https://www.metacritic.com/movie/amazing-grace-1972,"['Alan Elliott', 'Sydney Pollack']",['Documentary']
91,Grave of the Fireflies (1988),https://www.metacritic.com/movie/grave-of-the-fireflies,['Isao Takahata'],"['Drama', 'War', 'Animation']"
92,The Wild Child,https://www.metacritic.com/movie/the-wild-child,['François Truffaut'],['Drama']
93,Shadow of a Doubt,https://www.metacritic.com/movie/shadow-of-a-doubt,['Alfred Hitchcock'],['Thriller']
94,Inside Out,https://www.metacritic.com/movie/inside-out-2015,"['Pete Docter', 'Ronaldo Del Carmen']","['Adventure', 'Drama', 'Fantasy', 'Comedy', 'Animation', 'Family']"
95,Sideways,https://www.metacritic.com/movie/sideways,['Alexander Payne'],"['Drama', 'Comedy', 'Romance']"
96,Schindler's List,https://www.metacritic.com/movie/schindlers-list,['Steven Spielberg'],"['Biography', 'Drama', 'History', 'War']"
97,Meet Me in St. Louis,https://www.metacritic.com/movie/meet-me-in-st-louis,['Vincente Minnelli'],"['Drama', 'Comedy', 'Romance', 'Music', 'Family']"
98,The Apartment,https://www.metacritic.com/movie/the-apartment,['Billy Wilder'],"['Drama', 'Comedy', 'Romance']"
99,Apocalypse Now,https://www.metacritic.com/movie/apocalypse-now,['Francis Ford Coppola'],"['Action', 'Drama', 'War']"
100,The Gunfighter,https://www.metacritic.com/movie/the-gunfighter,['Henry King'],['Western']
101,We Were Here,https://www.metacritic.com/movie/we-were-here,"['Bill Weber', 'David Weissman']",['Documentary']
102,Faces Places,https://www.metacritic.com/movie/faces-places,"['Agnès Varda', 'JR']",['Documentary']
103,Chimes at Midnight,https://www.metacritic.com/movie/chimes-at-midnight,['Orson Welles'],"['Drama', 'History', 'Comedy', 'War']"
104,The Lord of the Rings: The Return of the King,https://www.metacritic.com/movie/the-lord-of-the-rings-the-return-of-the-king,['Peter Jackson'],"['Action', 'Adventure', 'Fantasy']"
105,Call Me by Your Name,https://www.metacritic.com/movie/call-me-by-your-name,['Luca Guadagnino'],"['Drama', 'Romance']"
106,Carlos,https://www.metacritic.com/movie/carlos,['Olivier Assayas'],"['Biography', 'Drama', 'History', 'Thriller', 'Crime']"
107,Marriage Story,https://www.metacritic.com/movie/marriage-story,['Noah Baumbach'],"['Drama', 'Comedy', 'Romance']"
108,The French Connection,https://www.metacritic.com/movie/the-french-connection,['William Friedkin'],"['Action', 'Drama', 'Thriller', 'Crime']"
109,La La Land,https://www.metacritic.com/movie/la-la-land,['Damien Chazelle'],"['Drama', 'Comedy', 'Romance', 'Musical']"
110,"Crouching Tiger, Hidden Dragon",https://www.metacritic.com/movie/crouching-tiger-hidden-dragon,['Ang Lee'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
111,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://www.metacritic.com/movie/jeanne-dielman-23-quai-du-commerce-1080-bruxelles,['Chantal Akerman'],['Drama']
112,Petite Maman,https://www.metacritic.com/movie/petite-maman,['Céline Sciamma'],['Drama']
113,The Magnificent Ambersons,https://www.metacritic.com/movie/the-magnificent-ambersons,"['Fred Fleck', 'Orson Welles', 'Robert Wise']","['Drama', 'Romance']"
114,Reversal of Fortune,https://www.metacritic.com/movie/reversal-of-fortune,['Barbet Schroeder'],"['Drama', 'Mystery']"
115,David Byrne’s American Utopia,https://www.metacritic.com/movie/american-utopia,['Spike Lee'],"['Music', 'Musical', 'Documentary']"
116,Lady Bird,https://www.metacritic.com/movie/lady-bird,['Greta Gerwig'],"['Drama', 'Comedy']"
117,Saint Omer,https://www.metacritic.com/movie/saint-omer,['Alice Diop'],['Drama']
118,Shoplifters,https://www.metacritic.com/movie/shoplifters,['Hirokazu Koreeda'],"['Drama', 'Crime']"
119,Shoah: Four Sisters,https://www.metacritic.com/movie/shoah-four-sisters,['Claude Lanzmann'],"['History', 'Documentary']"
120,The 39 Steps,https://www.metacritic.com/movie/the-39-steps,['Alfred Hitchcock'],"['Mystery', 'Thriller', 'Film-Noir']"
121,Duck Soup,https://www.metacritic.com/movie/duck-soup,['Leo McCarey'],"['Comedy', 'War', 'Musical']"
122,Days of Heaven,https://www.metacritic.com/movie/days-of-heaven,['Terrence Malick'],"['Drama', 'Romance']"
123,Toni Erdmann,https://www.metacritic.com/movie/toni-erdmann,['Maren Ade'],"['Drama', 'Comedy']"
124,Yi Yi,https://www.metacritic.com/movie/yi-yi,['Edward Yang'],"['Drama', 'Romance', 'Music']"
125,McCabe & Mrs. Miller,https://www.metacritic.com/movie/mccabe-mrs-miller,['Robert Altman'],"['Drama', 'Western']"
126,Inside Llewyn Davis,https://www.metacritic.com/movie/inside-llewyn-davis,"['Ethan Coen', 'Joel Coen']","['Drama', 'Music']"
127,The Best Years of Our Lives,https://www.metacritic.com/movie/the-best-years-of-our-lives,['William Wyler'],"['Drama', 'Romance', 'War']"
128,Stagecoach,https://www.metacritic.com/movie/stagecoach,['John Ford'],"['Adventure', 'Drama', 'Western']"
129,Sherpa,https://www.metacritic.com/movie/sherpa,['Jennifer Peedom'],['Documentary']
130,There Will Be Blood,https://www.metacritic.com/movie/there-will-be-blood,['Paul Thomas Anderson'],"['Drama', 'Thriller']"
131,Badlands,https://www.metacritic.com/movie/badlands,['Terrence Malick'],"['Drama', 'Crime']"
132,The Last Picture Show,https://www.metacritic.com/movie/the-last-picture-show,['Peter Bogdanovich'],['Drama']
133,Do the Right Thing,https://www.metacritic.com/movie/do-the-right-thing,['Spike Lee'],"['Drama', 'Comedy']"
134,Sita Sings the Blues,https://www.metacritic.com/movie/sita-sings-the-blues,['Nina Paley'],"['Fantasy', 'Comedy', 'Romance', 'Animation', 'Musical']"
135,The Decline of Western Civilization,https://www.metacritic.com/movie/the-decline-of-western-civilization,['Penelope Spheeris'],"['History', 'Music', 'Documentary']"
136,Yojimbo,https://www.metacritic.com/movie/yojimbo,['Akira Kurosawa'],"['Action', 'Drama', 'Thriller']"
137,Rio Bravo,https://www.metacritic.com/movie/rio-bravo,['Howard Hawks'],"['Action', 'Drama', 'Western']"
138,Brother's Keeper,https://www.metacritic.com/movie/brothers-keeper,"['Bruce Sinofsky', 'Joe Berlinger']","['Mystery', 'Crime', 'Documentary']"
139,Sankofa,https://www.metacritic.com/movie/sankofa,['Haile Gerima'],['Drama']
140,Crumb,https://www.metacritic.com/movie/crumb,['Terry Zwigoff'],"['Biography', 'Documentary']"
141,Spotlight,https://www.metacritic.com/movie/spotlight,['Thomas McCarthy'],"['Biography', 'Drama', 'History', 'Thriller']"
142,The Band Wagon,https://www.metacritic.com/movie/the-band-wagon,['Vincente Minnelli'],"['Comedy', 'Romance', 'Musical']"
143,One More Time with Feeling,https://www.metacritic.com/movie/one-more-time-with-feeling,['Andrew Dominik'],"['Music', 'Documentary']"
144,Ride the High Country,https://www.metacritic.com/movie/ride-the-high-country,['Sam Peckinpah'],"['Drama', 'Western']"
145,The Diving Bell and the Butterfly,https://www.metacritic.com/movie/the-diving-bell-and-the-butterfly,['Julian Schnabel'],"['Biography', 'Drama']"
146,Invasion of the Body Snatchers,https://www.metacritic.com/movie/invasion-of-the-body-snatchers-1956,['Don Siegel'],"['Sci-Fi', 'Drama', 'Horror']"
147,Mr. Bachmann and His Class,https://www.metacritic.com/movie/mr-bachmann-and-his-class,['Maria Speth'],['Documentary']
148,The Class,https://www.metacritic.com/movie/the-class,['Laurent Cantet'],['Drama']
149,Platoon,https://www.metacritic.com/movie/platoon,['Oliver Stone'],"['Drama', 'War']"
150,35 Shots of Rum,https://www.metacritic.com/movie/35-shots-of-rum,['Claire Denis'],['Drama']
151,Apocalypse Now: Final Cut,https://www.metacritic.com/movie/apocalypse-now-final-cut,['Francis Ford Coppola'],"['Drama', 'Mystery', 'War']"
152,Chinatown,https://www.metacritic.com/movie/chinatown,['Roman Polanski'],"['Drama', 'Mystery', 'Thriller', 'Crime']"
153,The Florida Project,https://www.metacritic.com/movie/the-florida-project,['Sean Baker'],['Drama']
154,Timbuktu,https://www.metacritic.com/movie/timbuktu,['Abderrahmane Sissako'],['Drama']
155,Frenzy,https://www.metacritic.com/movie/frenzy,['Alfred Hitchcock'],['Thriller']
156,Brief Encounter,https://www.metacritic.com/movie/brief-encounter,['David Lean'],"['Drama', 'Romance']"
157,No Country for Old Men,https://www.metacritic.com/movie/no-country-for-old-men,"['Ethan Coen', 'Joel Coen']","['Drama', 'Thriller', 'Crime', 'Western']"
158,Cool Hand Luke,https://www.metacritic.com/movie/cool-hand-luke,['Stuart Rosenberg'],"['Drama', 'Crime']"
159,Little Women,https://www.metacritic.com/movie/little-women-1933,['George Cukor'],"['Drama', 'Romance', 'Family']"
160,Maborosi,https://www.metacritic.com/movie/maborosi,['Hirokazu Koreeda'],['Drama']
161,Top Hat,https://www.metacritic.com/movie/top-hat,['Mark Sandrich'],"['Comedy', 'Romance', 'Musical']"
162,Apocalypse Now Redux,https://www.metacritic.com/movie/apocalypse-now-redux,['Francis Ford Coppola'],"['Action', 'Drama', 'War']"
163,Nomadland,https://www.metacritic.com/movie/nomadland,['Chloé Zhao'],['Drama']
164,Never Rarely Sometimes Always,https://www.metacritic.com/movie/never-rarely-sometimes-always,['Eliza Hittman'],['Drama']
165,Annie Hall,https://www.metacritic.com/movie/annie-hall,['Woody Allen'],"['Drama', 'Comedy', 'Romance']"
166,The Lord of the Rings: The Fellowship of the Ring,https://www.metacritic.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring,['Peter Jackson'],"['Action', 'Adventure', 'Fantasy']"
167,Quiz Show,https://www.metacritic.com/movie/quiz-show,['Robert Redford'],"['Drama', 'History']"
168,Leviathan,https://www.metacritic.com/movie/leviathan-2014,['Andrei Zvyagintsev'],['Drama']
169,Werckmeister Harmonies,https://www.metacritic.com/movie/werckmeister-harmonies,"['Ágnes Hranitzky', 'Béla Tarr']","['Sci-Fi', 'Drama', 'Mystery', 'Thriller', 'Horror', 'Crime']"
170,Toy Story 3,https://www.metacritic.com/movie/toy-story-3,['Lee Unkrich'],"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
171,The Souvenir,https://www.metacritic.com/movie/the-souvenir,['Joanna Hogg'],"['Drama', 'Mystery', 'Romance']"
172,This Is Spinal Tap,https://www.metacritic.com/movie/this-is-spinal-tap,['Rob Reiner'],"['Comedy', 'Music']"
173,The Look of Silence,https://www.metacritic.com/movie/the-look-of-silence,['Joshua Oppenheimer'],['Documentary']
174,Tower,https://www.metacritic.com/movie/tower,['Keith Maitland'],"['History', 'Crime', 'Animation', 'Documentary']"
175,Drive My Car,https://www.metacritic.com/movie/drive-my-car,['Ryûsuke Hamaguchi'],['Drama']
176,Moolaadé,https://www.metacritic.com/movie/moolaade,['Ousmane Sembene'],['Drama']
177,Atanarjuat: The Fast Runner,https://www.metacritic.com/movie/atanarjuat-the-fast-runner,['Zacharias Kunuk'],"['Drama', 'Fantasy']"
178,Ikiru,https://www.metacritic.com/movie/ikiru,['Akira Kurosawa'],['Drama']
179,Time,https://www.metacritic.com/movie/time-2020,['Garrett Bradley'],['Documentary']
180,Gavagai,https://www.metacritic.com/movie/gavagai,['Rob Tregenza'],['Drama']
181,The Man Who Would Be King,https://www.metacritic.com/movie/the-man-who-would-be-king,['John Huston'],['Adventure']
182,The Killing,https://www.metacritic.com/movie/the-killing,['Stanley Kubrick'],"['Drama', 'Thriller', 'Crime', 'Film-Noir']"
183,Swing Time,https://www.metacritic.com/movie/swing-time,['George Stevens'],"['Comedy', 'Romance', 'Musical']"
184,Breaking Away,https://www.metacritic.com/movie/breaking-away,['Peter Yates'],"['Drama', 'Sport', 'Comedy', 'Romance']"
185,After Life,https://www.metacritic.com/movie/after-life,['Hirokazu Koreeda'],"['Drama', 'Fantasy']"
186,Son of Saul,https://www.metacritic.com/movie/son-of-saul,['László Nemes'],"['Drama', 'History', 'Thriller', 'Horror', 'War']"
187,Love Affair,https://www.metacritic.com/movie/love-affair-1939,['Leo McCarey'],"['Drama', 'Comedy', 'Romance']"
188,Frankenstein,https://www.metacritic.com/movie/frankenstein,['James Whale'],"['Sci-Fi', 'Drama', 'Horror']"
189,8½,https://www.metacritic.com/movie/-1963,['Federico Fellini'],['Drama']
190,Little Women,https://www.metacritic.com/movie/little-women-2019,['Greta Gerwig'],"['Drama', 'Romance']"
191,E.T. The Extra-Terrestrial,https://www.metacritic.com/movie/et-the-extra-terrestrial,['Steven Spielberg'],"['Adventure', 'Sci-Fi', 'Drama', 'Fantasy', 'Family']"
192,The African Queen,https://www.metacritic.com/movie/the-african-queen,['John Huston'],"['Adventure', 'Drama', 'Romance', 'War']"
193,The Triplets of Belleville,https://www.metacritic.com/movie/the-triplets-of-belleville,['Sylvain Chomet'],"['Adventure', 'Comedy', 'Music', 'Animation']"
194,The Queen,https://www.metacritic.com/movie/the-queen,['Stephen Frears'],"['Biography', 'Drama']"
